"main.id","hpq_phiheal_indiv_mem.id","phiheal_indiv_mem_refno"
"562924","1","1"
"562924","2","3"
"562969","0","1"
"562969","1","2"
"562969","2","3"
"562969","3","7"
"562974","0","1"
"562974","1","3"
"562974","2","4"
"562982","0","2"
"562982","1","1"
"562982","2","4"
"562990","0","2"
"562990","1","5"
"563130","0","1"
"563130","1","2"
"563130","2","3"
"563131","0","1"
"563131","1","2"
"563131","2","3"
"563131","3","4"
"563132","0","1"
"563132","1","2"
"563132","2","3"
"563134","0","1"
"563134","1","2"
"563150","0","2"
"563164","0","1"
"563164","1","2"
"563454","0","2"
"686017","0","1"
"764757","0","1423073243508"
"764757","1","1423073243509"
"764757","2","1423073243510"
"764757","3","1423073243511"
"764815","0","1"
"767807","0","1"
"769148","0","1"
"769148","1","2"
"810084","0","1"
"810084","1","2"
"810084","2","3"
"810084","3","4"
"810114","0","1"
"810114","1","2"
"810114","2","3"
"810656","0","1"
"810656","1","2"
"811165","0","1"
"811165","1","3"
"811165","2","4"
"811165","3","5"
"1013014","0","2"
"1023384","0","1"
"1023384","1","2"
"1023384","2","3"
"1023384","3","4"
"1023384","4","5"
"1023384","5","6"
"187789","0","7"
"187789","1","6"
"187789","2","8"
"187789","3","9"
"1136297","0","1"
